time,latitude,longitude,depth,magnitude,place
1503638430340,12.3591,42.006,10.0,4.5,"56 km WNW of Dorra, Djibouti"
1497736032520,11.8198,43.8993,10.0,4.3,"68 km ESE of Obock, Djibouti"
1492166695080,11.823,43.2572,10.0,4.7,"16 km SSW of Obock, Djibouti"
1492149197820,11.7919,43.3797,2.35,4.7,"21 km SSE of Obock, Djibouti"
1485534562570,7.671,38.6682,10.0,5.3,"29 km S of Ziway, Ethiopia"
1477297286470,12.3752,47.0577,10.0,4.2,"183 km NW of Las Khorey, Somalia"
1473786483860,14.8196,44.2894,7.46,4.0,"33 km NNW of Dham?r, Yemen"
1470419806350,12.1427,45.6487,15.14,4.2,"96 km SE of Aden, Yemen"
1468967586680,13.5621,45.5838,10.0,4.2,"37 km NNE of Ahl Mohammed bin Ahmed, Yemen"
1464111808690,14.0889,45.3292,10.0,4.9,"28 km WNW of Al Bayda, Yemen"
1463246712560,11.6018,42.8759,8.53,4.3,"8 km NNE of Arta, Djibouti"
1463246441370,11.505,42.8671,4.23,4.2,"2 km SE of Arta, Djibouti"
1454014836380,12.3983,47.3986,10.0,4.4,"162 km NNW of Las Khorey, Somalia"
1453660472450,7.0885,38.4794,10.0,4.4,"2 km N of Hawassa, Ethiopia"
1446078936320,9.0216,39.7736,16.76,4.3,"20 km NW of Metah?ra, Ethiopia"
1443504686180,11.5672,43.3135,5.91,4.6,"13 km NNE of Loyada, Djibouti"
1437152261100,12.0532,46.3672,10.0,4.2,"160 km SE of Zinjib?r, Yemen"
1436974387460,12.0845,46.4249,10.0,4.1,"161 km SE of Zinjib?r, Yemen"
1436965562890,12.0258,46.3268,12.37,4.3,"159 km SE of Zinjib?r, Yemen"
1436846898450,12.0653,46.2308,15.34,4.1,"149 km SE of Zinjib?r, Yemen"
1436846055620,12.0329,46.23,13.64,4.4,"152 km SE of Zinjib?r, Yemen"
1436834058660,11.9528,46.3617,10.0,4.3,"168 km SE of Zinjib?r, Yemen"
1436831084550,11.8697,46.2552,10.0,4.6,"166 km SE of Aden, Yemen"
1436806465480,12.1896,46.1956,14.96,4.5,"136 km SE of Zinjib?r, Yemen"
1436806348140,12.0873,46.2116,10.0,4.7,"146 km SE of Zinjib?r, Yemen"
1436806267710,12.1715,46.2295,10.0,4.8,"140 km SE of Zinjib?r, Yemen"
1436795774060,12.241,46.1392,15.18,4.3,"128 km SE of Zinjib?r, Yemen"
1436787051390,11.9165,46.3159,16.1,4.8,"168 km SE of Zinjib?r, Yemen"
1436786044200,11.9371,46.3703,14.31,5.0,"170 km SE of Zinjib?r, Yemen"
1436785978450,11.7891,46.3591,15.49,4.8,"170 km NW of Ceerigaabo, Somalia"
1436408173240,11.9429,46.5731,15.22,4.5,"170 km NNW of Ceerigaabo, Somalia"
1436408115840,12.0756,46.2207,14.94,4.4,"147 km SE of Zinjib?r, Yemen"
1435047349320,11.1668,42.3207,16.13,4.4,"9 km NW of Dikhil, Djibouti"
1432968508520,11.6874,43.1616,7.28,4.7,"11 km N of Djibouti, Djibouti"
1429009469430,11.7894,44.0601,10.0,4.6,"86 km ESE of Obock, Djibouti"
1427804993340,7.8935,38.1148,10.0,4.2,Ethiopia
1426640958000,13.9749,45.9273,10.0,4.4,"18 km NNE of Jawf al Maqb?bah, Yemen"
1419869392230,7.411,38.8101,10.68,4.4,"32 km NE of Shashemen?, Ethiopia"
1418510239200,11.479,41.6783,14.55,4.6,"27 km ESE of Asaita, Ethiopia"
1415128527690,11.6578,44.0843,9.49,4.1,"93 km ESE of Obock, Djibouti"
1412657928640,12.2613,46.959,13.55,4.3,"181 km NW of Las Khorey, Somalia"
1408696949920,14.5128,39.8855,10.0,4.3,"52 km ENE of ?d?grat, Ethiopia"
1403268131850,10.6937,38.9343,10.0,4.2,"56 km WNW of Were ?lu, Ethiopia"
1400551550510,11.2336,41.903,16.37,4.1,"52 km WNW of Dikhil, Djibouti"
1396151630830,14.4812,39.73,16.48,4.6,"36 km NE of ?d?grat, Ethiopia"
1392107609860,4.8693,34.7645,10.0,4.4,"130 km E of Kapoeta, South Sudan"
1373535970860,12.666,47.974,10.0,5.0,"168 km N of Las Khorey, Somalia"
1373527575560,12.757,47.829,10.0,4.0,"181 km NNW of Las Khorey, Somalia"
1368222982480,14.788,42.196,10.0,4.4,"81 km W of Al ?udaydah, Yemen"
1365826784410,12.687,47.957,9.2,4.3,"170 km N of Las Khorey, Somalia"
1358126096910,12.52,47.417,10.0,4.5,"172 km NNW of Las Khorey, Somalia"
1354557137340,14.875,42.229,10.0,4.7,"78 km W of Al ?udaydah, Yemen"
1354446580680,11.891,45.787,10.0,4.3,"127 km SE of Aden, Yemen"
1347138699650,11.712,43.289,10.0,4.4,"20 km NE of Djibouti, Djibouti"
1346877392910,12.084,46.238,10.0,5.1,"148 km SE of Zinjib?r, Yemen"
